Time, Temp(C), Humidity(%)  
15:19:33.322, 23.00, 38.00
15:19:36.541, 23.00, 38.00
15:19:39.768, 23.00, 38.00
15:19:43.042, 23.00, 38.00
15:19:46.270, 23.00, 38.00
15:19:49.502, 23.00, 38.00
15:19:52.726, 23.00, 38.00
15:19:55.951, 23.00, 38.00
15:19:59.175, 23.00, 38.00
15:20:02.409, 23.00, 38.00
15:20:05.629, 23.00, 38.00
15:20:08.850, 23.00, 38.00
15:20:12.078, 23.00, 38.00
15:20:15.334, 23.00, 38.00
15:20:18.557, 23.00, 38.00
15:20:21.782, 23.00, 38.00
15:20:25.002, 23.00, 38.00
15:20:28.228, 23.00, 38.00
15:20:31.455, 23.00, 38.00
15:20:34.673, 23.00, 38.00
15:20:37.944, 23.00, 38.00
15:20:41.168, 23.00, 38.00
15:20:44.394, 23.00, 38.00
15:20:47.624, 23.00, 38.00
15:20:50.852, 23.00, 38.00
15:20:54.078, 23.00, 38.00
15:20:57.307, 23.00, 38.00
15:21:00.536, 23.00, 38.00
15:21:03.758, 23.00, 38.00
15:21:06.985, 23.00, 38.00
15:21:10.215, 23.00, 38.00
15:21:13.481, 23.00, 38.00
15:21:16.708, 23.00, 38.00
15:21:19.931, 23.00, 38.00
15:21:23.151, 23.00, 38.00
15:21:26.382, 23.00, 38.00
15:21:29.605, 23.00, 38.00
15:21:32.827, 23.00, 38.00
15:21:36.047, 23.00, 38.00
15:21:39.274, 23.00, 38.00
15:21:42.551, 23.00, 38.00
15:21:45.777, 23.00, 38.00
15:21:49.003, 23.00, 38.00
15:21:52.226, 23.00, 38.00
15:21:55.452, 23.00, 38.00
15:21:58.689, 23.00, 38.00
15:22:01.919, 23.00, 38.00
15:22:05.146, 23.00, 38.00
15:22:08.376, 23.00, 38.00
15:22:11.604, 23.00, 38.00
15:22:14.836, 23.00, 38.00
15:22:18.056, 23.00, 38.00
15:22:21.281, 23.00, 38.00
15:22:24.509, 23.00, 38.00
15:22:27.741, 23.00, 38.00
15:22:30.967, 23.00, 38.00
15:22:34.196, 23.00, 38.00
15:22:37.437, 23.00, 38.00
15:22:40.660, 23.00, 38.00
15:22:43.887, 23.00, 38.00
15:22:47.111, 23.00, 38.00
15:22:50.342, 23.00, 38.00
15:22:53.567, 23.00, 38.00
15:22:56.798, 23.00, 38.00
15:23:00.023, 23.00, 38.00
15:23:03.293, 23.00, 38.00
15:23:06.522, 23.00, 38.00
15:23:09.755, 23.00, 38.00
15:23:12.985, 23.00, 38.00
15:23:16.202, 23.00, 38.00
15:23:19.426, 23.00, 38.00
15:23:22.648, 23.00, 38.00
15:23:25.872, 23.00, 38.00
15:23:29.096, 23.00, 38.00
15:23:32.329, 23.00, 38.00
15:23:35.557, 23.00, 38.00
15:23:38.826, 23.00, 38.00
15:23:42.046, 23.00, 38.00
15:23:45.275, 23.00, 38.00
15:23:48.495, 23.00, 38.00
15:23:51.718, 23.00, 38.00
15:23:54.944, 23.00, 38.00
15:23:58.170, 23.00, 38.00
15:24:01.440, 23.00, 38.00
15:24:04.670, 23.00, 38.00
15:24:07.898, 23.00, 38.00
15:24:11.121, 23.00, 38.00
15:24:14.351, 23.00, 38.00
15:24:17.579, 23.00, 38.00
15:24:20.804, 23.00, 38.00
15:24:24.033, 23.00, 38.00
15:24:27.255, 23.00, 38.00
15:24:30.472, 23.00, 38.00
15:24:33.742, 23.00, 38.00
15:24:36.925, 23.00, 38.00
15:24:40.191, 23.00, 38.00
15:24:43.419, 23.00, 38.00
15:24:46.641, 23.00, 38.00
15:24:49.865, 23.00, 38.00
15:24:53.097, 23.00, 38.00
15:24:56.318, 23.00, 38.00
15:24:59.550, 23.00, 38.00
15:25:02.775, 23.00, 38.00
15:25:06.042, 23.00, 38.00
15:25:09.264, 23.00, 38.00
15:25:12.492, 23.00, 38.00
15:25:15.724, 23.00, 38.00
15:25:18.920, 23.00, 38.00
15:25:22.191, 23.00, 38.00
15:25:25.411, 23.00, 38.00
15:25:28.642, 23.00, 38.00
15:25:31.870, 23.00, 38.00
15:25:35.089, 23.00, 38.00
15:25:38.314, 23.00, 38.00
15:25:41.538, 23.00, 38.00
15:25:44.763, 23.00, 38.00
15:25:48.000, 23.00, 38.00
15:25:51.225, 23.00, 38.00
15:25:54.455, 23.00, 38.00
15:25:57.684, 23.00, 38.00
15:26:00.910, 23.00, 38.00
15:26:04.138, 23.00, 38.00
15:26:07.410, 23.00, 38.00
15:26:10.636, 23.00, 38.00
15:26:13.862, 23.00, 38.00
15:26:17.092, 23.00, 38.00
15:26:20.329, 22.00, 38.00
15:26:23.557, 23.00, 38.00
15:26:26.790, 22.00, 38.00
15:26:30.022, 23.00, 38.00
15:26:33.252, 23.00, 38.00
15:26:36.475, 22.00, 38.00
15:26:39.706, 23.00, 38.00
15:26:42.934, 23.00, 38.00
15:26:46.164, 23.00, 38.00
15:26:49.391, 22.00, 38.00
15:26:52.619, 22.00, 38.00
15:26:55.845, 23.00, 38.00
15:26:59.072, 22.00, 38.00
15:27:02.309, 22.00, 38.00
15:27:05.536, 23.00, 38.00
15:27:08.766, 23.00, 38.00
15:27:11.987, 23.00, 38.00
15:27:15.213, 23.00, 38.00
15:27:18.439, 23.00, 38.00
15:27:21.667, 22.00, 38.00
15:27:24.891, 22.00, 38.00
15:27:28.119, 22.00, 38.00
15:27:31.392, 22.00, 38.00
15:27:34.620, 22.00, 38.00
15:27:37.853, 22.00, 38.00
15:27:41.082, 22.00, 38.00
15:27:44.269, 22.00, 38.00
15:27:47.500, 22.00, 38.00
15:27:50.744, 22.00, 38.00
15:27:53.959, 22.00, 38.00
15:27:57.228, 22.00, 38.00
15:28:00.450, 22.00, 38.00
15:28:03.673, 22.00, 38.00
15:28:06.894, 22.00, 38.00
15:28:10.120, 22.00, 38.00
15:28:13.350, 22.00, 38.00
15:28:16.581, 22.00, 38.00
15:28:19.804, 22.00, 38.00
15:28:23.073, 22.00, 38.00
15:28:26.291, 22.00, 38.00
15:28:29.510, 22.00, 38.00
15:28:32.739, 22.00, 38.00
15:28:35.958, 22.00, 38.00
15:28:39.187, 22.00, 38.00
15:28:42.454, 22.00, 38.00
15:28:45.678, 22.00, 38.00
15:28:48.904, 22.00, 38.00
15:28:52.131, 22.00, 38.00
15:28:55.351, 22.00, 38.00
15:28:58.557, 22.00, 38.00
15:29:01.829, 22.00, 38.00
15:29:05.053, 22.00, 38.00
15:29:08.276, 22.00, 38.00
15:29:11.510, 22.00, 38.00
15:29:14.736, 22.00, 38.00
15:29:17.965, 22.00, 38.00
15:29:21.182, 22.00, 38.00
15:29:24.410, 22.00, 38.00
15:29:27.638, 22.00, 38.00
15:29:30.868, 22.00, 38.00
15:29:34.099, 22.00, 38.00
15:29:37.326, 22.00, 38.00
15:29:40.551, 22.00, 38.00
15:29:43.777, 22.00, 38.00
15:29:47.048, 22.00, 38.00
15:29:50.273, 22.00, 38.00
15:29:53.501, 22.00, 38.00
15:29:56.722, 22.00, 38.00
15:29:59.943, 22.00, 38.00
15:30:03.168, 22.00, 38.00
15:30:06.394, 22.00, 38.00
15:30:09.628, 22.00, 38.00
15:30:12.860, 22.00, 38.00
15:30:16.085, 22.00, 38.00
15:30:19.309, 22.00, 38.00
15:30:22.559, 22.00, 38.00
15:30:25.789, 22.00, 38.00
15:30:29.016, 22.00, 38.00
15:30:32.247, 22.00, 38.00
15:30:35.472, 22.00, 38.00
15:30:38.699, 22.00, 38.00
15:30:41.921, 22.00, 38.00
15:30:45.147, 22.00, 38.00
15:30:48.421, 22.00, 38.00
15:30:51.646, 22.00, 38.00
15:30:54.869, 22.00, 38.00
15:30:58.102, 22.00, 38.00
15:31:01.331, 22.00, 38.00
15:31:04.555, 22.00, 38.00
15:31:07.784, 22.00, 38.00
15:31:11.013, 22.00, 38.00
15:31:14.233, 22.00, 38.00
15:31:17.462, 22.00, 38.00
15:31:20.689, 22.00, 38.00
15:31:23.921, 22.00, 38.00
15:31:27.152, 22.00, 38.00
15:31:30.376, 22.00, 38.00
15:31:33.606, 22.00, 38.00
15:31:36.866, 22.00, 38.00
15:31:40.090, 22.00, 38.00
15:31:43.315, 22.00, 38.00
15:31:46.549, 22.00, 38.00
15:31:49.781, 22.00, 38.00
15:31:53.009, 22.00, 38.00
15:31:56.234, 22.00, 38.00
15:31:59.460, 22.00, 38.00
15:32:02.687, 22.00, 38.00
15:32:05.911, 22.00, 38.00
15:32:09.133, 22.00, 38.00
15:32:12.360, 22.00, 38.00
15:32:15.584, 22.00, 38.00
15:32:18.857, 22.00, 38.00
15:32:22.078, 22.00, 38.00
15:32:25.303, 22.00, 38.00
15:32:28.533, 22.00, 38.00
15:32:31.761, 22.00, 38.00
15:32:34.984, 22.00, 38.00
15:32:38.204, 22.00, 38.00
15:32:41.427, 22.00, 38.00
